review_id,product,order_status,review_text,sentiment
ORD200000,Monitor,Shipped,"The monitor exceeded my expectations, great quality and fast shipping!",Positive
ORD200001,Phone,Shipped,"This phone is not bad at all, actually pretty amazing for the price.",Positive
ORD200002,Tablet,Cancelled,"Terrible experience, the tablet stopped working within a week.",Negative
ORD200003,Chair,Returned,"This chair is not worth the price, very disappointing.",Negative
ORD200004,Printer,Delivered,I was worried at first but the printer turned out to be really good.,Positive
ORD200005,Phone,Shipped,"Absolutely love this phone, works perfectly and arrived on time.",Positive
ORD200006,Laptop,Returned,"This laptop is not worth the price, very disappointing.",Negative
ORD200007,Monitor,Shipped,"Best monitor I have bought this year, five stars.",Positive
ORD200008,Phone,Cancelled,"This phone is not worth the price, very disappointing.",Negative
ORD200009,Desk,Shipped,"Fast delivery and the desk feels premium, very satisfied.",Positive
ORD200010,Tablet,Returned,"The tablet was not good, arrived damaged and support was unhelpful.",Negative
ORD200011,Monitor,Returned,"I am not happy with this monitor, complete waste of money.",Negative
ORD200012,Monitor,Pending,"Awful build quality, would not recommend this monitor to anyone.",Negative
ORD200013,Laptop,Returned,"The laptop is not what I expected, poor quality overall.",Negative
ORD200014,Tablet,Pending,"Awful build quality, would not recommend this tablet to anyone.",Negative
ORD200015,Printer,Delivered,I was worried at first but the printer turned out to be really good.,Positive
ORD200016,Printer,Pending,"Great value for money, the printer works flawlessly.",Positive
ORD200017,Tablet,Shipped,"The tablet exceeded my expectations, great quality and fast shipping!",Positive
ORD200018,Desk,Pending,"This desk is not worth the price, very disappointing.",Negative
ORD200019,Monitor,Returned,The monitor never worked properly from day one.,Negative
ORD200020,Chair,Pending,"Super happy with my chair purchase, no complaints so far.",Positive
ORD200021,Monitor,Delivered,The monitor is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200022,Monitor,Pending,"Awful build quality, would not recommend this monitor to anyone.",Negative
ORD200023,Phone,Cancelled,"Terrible experience, the phone stopped working within a week.",Negative
ORD200024,Laptop,Delivered,"This laptop is not bad at all, actually pretty amazing for the price.",Positive
